title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
"Kadensho, Arashiyama Onsen, Kyoto - Kyoritsu Resort",Kyoto,984.0,11,3,11,8,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,71574.0
Travelodge Kyoto Shijo Omiya,Kyoto,4316.0,11,3,11,8,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34962.0
Hotel Angel Grandia Echigo Nakazato,Niigata,467.0,11,3,11,8,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,36212.0
APA Hotel Kintetsu Nara Ekimae,Nara,2000.0,12,1,12,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24253.0
Hotel Route Inn Choshi Eki Nishi,Chiba,275.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25023.0
Hilton Hiroshima,Hiroshima,2667.0,12,1,12,6,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,49712.0
Hotel Elcient Osaka Umeda,Osaka,4700.0,12,1,12,6,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,41517.0
Karaksa Hotel Osaka Namba,Osaka,2910.0,12,1,12,6,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,65191.0
Dormy Inn Takamatsu,Kagawa,674.0,11,17,11,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65569.0
秋葉の宿,Kochi,54.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33364.0
Super Hotel Fujinomiya,Shizuoka,1540.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16476.0
Hotel Route-Inn Kumagaya,Saitama,345.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28775.0
Nest Hotel Ishigaki Maesato Beach,Okinawa,225.0,12,1,12,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26920.0
Forest Inn Gobo,Wakayama,150.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21309.0
Tosei Hotel Cocone Asakusa Kuramae,Tokyo,1555.0,11,3,11,8,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,42556.0
直島町ふるさと海の家 つつじ荘 -SeaSide Park Stay Tsutsujiso-,Kagawa,1188.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20532.0
Hotel Folkloro Sanrikukamaishi,Iwate,615.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25276.0
evo Hotel Hakuba,Nagano,108.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48603.0
